artistname,artistid,Total tracks
Tito Puente,2034,12
Robert Earl Keen,1135,12
J.J. Cale,1374,12
Toots Hibbert,494,12
The Rolling Stones,522,12
Gerald Albright,775,12
Joan Armatrading,757,12
The Marvelettes,325,12
Liza Minnelli,3871,12
Mark Whitfield,4760,12
The Mad Lads,5024,12
Tish Hinojosa,5162,12
Snooks Eaglin,8842,12
Nazareth,10635,12
Earl Scruggs,10244,12
Karen Carpenter,11138,12
Big Dumb Face,11023,12
Ramsey Lewis Trio,10888,12
Sisqo,35603,12
Frank D'Rone,40459,12
Art Blakey Quartet,40335,12
Eddy Mitchell,39340,12
Jibbs,36124,12
Ruth Cameron,61085,12
Eberhard Weber,63620,12
Gerardo Fernandez,66500,12
Michelangelo,70188,12
Alfie Boe,51744,12
The Folk Implosion,52255,12
Leona Naess,15824,12
Joe Ely,16502,12
Wanda Jackson,16238,12
The Undisputed Truth,14036,12
Munich Symphony,15804,12
Martin Denny,17662,12
Dion,19257,12
Buddy Rich & His Orchestra,18571,12
Charlie Barnet,18569,12
Matthew Ryan,22716,12
Lee Hazlewood,20777,12
Angels and Airwaves,21599,12
Luigi Alva [Tenor],3368606,12
Ronnie Aldrich & His 2 Pianos,3530530,12
Adam Wakefield,3322302,12
Jake Worthington,2864573,12
Danielle Bradbery,1928745,12
Tony Succar,1968698,12
Matt McAndrew,2158558,12
Father Ray Kelly,2526529,12
Niykee Heaton,2273695,12
Andreas Varady,2293229,12
Alisan Porter,2490102,12
Laith Al-Saadi,2546710,12
Chris Jamison,2696061,12
Craig Wayne Boyd,1215740,12
David Ferguson,1289180,12
The Broken Circle Breakdown Bluegrass Band,1415384,12
The Statlers,1429709,12
Patty Duke,766900,12
Joanna,90719,12
Luciana Souza,92010,12
Bob Wills & His Texas Playboys / Tommy Duncan,89052,12
Player,84847,12
Jandy Feliz,84838,12
Charles Lloyd Quartet,102384,12
Toni Harper,95728,12
Susanne Abbuehl,135296,12
Iron & Wine,190267,12
Pete Jolly,209387,12
John Popper,171509,12
Terry Callier,163855,12
Mikaila,238016,12
The Cowsills,241515,12
Damien,245178,12
Jennifer Peña,306921,12
Asher Roth,282457,12
SafetySuit,294938,12
The Toadies,318948,12
Mollys Yes,319443,12
Jonatha Brooke & The Story,319146,12
Trixter,322173,12
Ohta San,330052,12
Lauren Christy,315201,12
Los Potrancos de Sinaloa,313173,12
dig,318309,12
Will Champlin,317682,12
Ol Skool,317435,12
Ringside,378039,12
Bobby Bazini,566025,12
Ray Charles Singers,583828,12
Tessanne Chin,528462,12
Frank Zappa,437953,11
Erika Jo,385635,11
Reyes De Control,377054,11
Buddy Rich Quartet,385362,11
Banda Roja,369815,11
Amanda Blank,373792,11
Ignacio Pena,369645,11
Los Pescadores Del Rio Conchos,369492,11
Meredith Edwards,369111,11
E,317477,11
David Nail,312853,11
Dizzy Gillespie Octet,315183,11
The Mitchell Trio,328780,11
Danny Wilde,318962,11
The Urgency,286246,11
Betzaida,306938,11
Kenny Rankin,233588,11
McBride and The Ride,165787,11
Chris Blue,181854,11
Julianne Hough,216407,11
Adolph Green,196926,11
Stephen Scott,190109,11
Sons Of The Desert,127834,11
David Fonseca,163475,11
King Cole Trio,95484,11
Yoav,97771,11
Bonnie Bramlett,101402,11
Brandon Flowers,700722,11
Sully Erna,761083,11
Crudos Tribal,1304440,11
"Max Roach, Buddy Rich",1189256,11
Jordan Smith,1120650,11
Nicholas David,1482254,11
Mondo Cozmo,3397401,11
Os Mutantes,21605,11
G.C. Cameron,21594,11
Benny Goodman & His Sextet,25128,11
Kansas,19140,11
Bobbie Gentry,17872,11
Apocalyptica,18488,11
Jimmy Cleveland,18544,11
Oak Ridge Boys,15806,11
Thrice,13625,11
"Oran ""Juice"" Jones",13667,11
Kingdom Come,16715,11
The Robert Cray Band,16703,11
Bering Strait,53999,11
Paul Brown,54399,11
MDO,54593,11
Johnny Jenkins,47990,11
Alfred Drake,43799,11
Chris Botti,37544,11
Buddy De Franco,39419,11
Archie Shepp,40235,11
Luther Allison,35584,11
Tommy Dorsey & His Orchestra,34702,11
Rhythms Del Mundo,34995,11
Montell Jordan,35007,11
David Bisbal,32648,11
Explosions In The Sky,28574,11
Cyndi Lauper,11319,11
Edie Brickell,10854,11
Bobby Darin,10549,11
Courtney Pine,10286,11
Bukka White,8590,11
Milton Nascimento,5055,11
