artistname,artistid,Total tracks
Musiq Soulchild,50623,1
John Leguizamo,49694,1
Johnny Daye,48005,1
Jim Croce,51751,1
Jerry Rivera,52359,1
The Edgar Winter Group,52753,1
Big Brother & The Holding Company,52181,1
Finger Eleven,53489,1
Ini Kamoze,53731,1
Arbol,53903,1
Erick Morillo,54934,1
The Beatles,55752,1
Adassa,54062,1
Blind Boy Fuller,54782,1
Paquito D'Rivera,54818,1
Skapulario,54839,1
The Charlie Daniels Band,54849,1
Argent,59545,1
Wynonna,59548,1
Lord Creator,59260,1
Frijid Pink,56120,1
Blue Swede,56718,1
Deborah Henson-Conant,56325,1
Y&T,45589,1
Beavis And Butt-Head,45592,1
Louie Bellson,45614,1
Laurel Aitken,45729,1
Sharam,45921,1
Good Charlotte,46791,1
Karla Bonoff,46865,1
Corona,47077,1
Barry Wordsworth,47871,1
Them,46177,1
Paul Gonsalves,46101,1
Floyd Newman,47980,1
Wendy Rene,47988,1
Ruby Johnson,47998,1
The Veltones,47962,1
Donald Harrison,43499,1
Dave Samuels,43500,1
Cal Smith,43496,1
William S. Burroughs,43518,1
Mona Lisa,43774,1
Decca Orchestra,43794,1
Randy Weston,42856,1
The Five Blind Boys Of Mississippi,43492,1
Kraak & Smaak,42916,1
Jan & Dean,43092,1
Josh Kelley,43143,1
Muriel Smith,45551,1
2 In A Room,44377,1
Maxine Nightingale,44720,1
Richard Kiley,45564,1
Mindi Abair,45569,1
Hugh Jackman,45582,1
Mimi Benzell,43804,1
Kathryn Meisle,43801,1
Paul Laurence,43802,1
Carol Rogers,43865,1
Chico O'Farrill,44081,1
Patti LaBelle / George Howard,72676,1
Patti LaBelle / Michael McDonald,72684,1
B.B. King / Bobby Bland,72670,1
Counting Crows / Sheryl Crow,72607,1
Counting Crows / Vanessa Carlton,72609,1
Patsy Cline / The Jordanaires,72662,1
Sisqo / Dru Hill,72133,1
Ella Fitzgerald / Sy Oliver & His Orchestra,72237,1
Sarah Vaughan / Clifford Brown,72329,1
"Sammy Davis, Jr. / Carmen McRae",72331,1
Karen Carpenter / Ella Fitzgerald,72099,1
Lionel Richie / Diana Ross,72114,1
Louis Armstrong / Bing Crosby,67533,1
3 Doors Down / Bob Seger,67558,1
People In Planes,66287,1
Diana Ross / Marvin Gaye,67858,1
Mary J. Blige / Eve,67862,1
The Seeds,68270,1
Benny Mardones,69729,1
Nancy Walker,70230,1
Cecil Grant,70936,1
Clara Ward,63004,1
Slipknot,63345,1
Vaughan Penn,63793,1
Richie Ray,63858,1
Nenad Bach,64575,1
Andre Williams,62468,1
Machine Head,62818,1
Bob Shad,61629,1
James Clay,61690,1
Roberto Menescal E Seu Conjunto,61098,1
Friedrich Gulda,61119,1
Hall & Oates,61234,1
Robert Wilkins,61281,1
Rudolf Serkin,61301,1
Lou Christie,60583,1
Cartel,60941,1
"Oscar Brown, Jr.",61000,1
Albert Nicholas,60222,1
Buddy Miles Express,60059,1
Nice & Smooth,59519,1
Ella Fitzgerald / Louis Jordan,72768,1
DJ Shadow / Christina Carter,74022,1
DJ Shadow / E-40,74024,1
Joan Baez / Joni Mitchell,73534,1
Elvis Costello / The Brodsky Quartet,73604,1
Charlie Parker / Dizzy Gillespie / Thelonious Monk / Curly Russell / Buddy Rich,74027,1
Charlie Parker / Neal Hefti Orchestra,74030,1
DJ Shadow / The Team,74039,1
Stan Getz / Astrud Gilberto,74930,1
"Lester Young / Nat ""King"" Cole / Buddy Rich",74968,1
Lester Young / Oscar Peterson,74969,1
Charlie Parker / Machito Orchestra,75033,1
Helen Merrill / Clifford Brown,75123,1
Gloria Scott,73639,1
Hank Williams / Audrey Williams,73656,1
Jack Johnson / Matt Costa,73776,1
Cher / Peter Cetera,73897,1
Jack Johnson / Kawika Kahiapo,73995,1
DJ Shadow / Nump,74016,1
DJ Shadow / David Banner,74017,1
DJ Shadow / The Heliocentrics,74018,1
DJ Shadow / Phonte Coleman,74019,1
Ella Fitzgerald / Stan Getz,73204,1
Stan Getz / Chick Corea / Bill Evans,73209,1
Rick James / Teena Marie,73243,1
Ann Nesby / Al Green,73280,1
Ann Nesby / Big Mike,73281,1
Ann Nesby / Jamecia Bennett,73283,1
"Ann Nesby / James ""Big"" Jim Wright",73284,1
Billy Preston / Syreeta,73298,1
Mary J. Blige / Ja Rule,73391,1
John Anderson / Waylon Jennings,75138,1
Dinah Washington / Clifford Brown,75153,1
Lester Young / The Oscar Peterson Trio,75158,1
Joe Williams / Ella Fitzgerald / Count Basie,75238,1
Jimmy Smith / Wes Montgomery,75293,1
Dinah Washington / Brook Benton,75348,1
The Washingtonians,75363,1
Lalah Hathaway,75383,1
Gladys Knight / Jamie Foxx,75523,1
Mary J. Blige / P. Diddy,75544,1
Tammy Wynette / George Jones,75546,1
Marty Stuart / Travis Tritt,75547,1
Chely Wright / Brad Paisley,75548,1
Louis Armstrong / Louis Jordan & His Tympany Five,75569,1
Will Downing / Chanté Moore,76180,1
LL Cool J / Mary Mary,76328,1
Barbara Harris,78202,1
Oscar Peterson / Lionel Hampton,79150,1
Oscar Peterson / Milt Jackson,79335,1
Kokomo Arnold,79422,1
Marz,35590,1
Sinisstar,35591,1
Control Machete,35224,1
Carol Channing,35633,1
Gregory Hines,35653,1
Tomas San Miguel,35752,1
The Maccabees,34993,1
Xelencia,34103,1
The Vogues,34736,1
Fuel,34946,1
Link Wray,35086,1
Issac Delgado,35174,1
Illya Kuryaki And The Valderramas,35227,1
Zurdok,35232,1
Bersuit Vergarabat,35233,1
Ninel Conde,34362,1
Earl Oxford,34601,1
Pressure 4-5,34613,1
Ronald Isley,34618,1
Matt Nathanson,34641,1
+44,34648,1
Styles P,33141,1
Tatiana,33164,1
Myriam Hernández,33165,1
Yuri,33166,1
Jorge Drexler,33957,1
Connie Fisher,33974,1
Stu Phillips,33526,1
The Cheers,33805,1
MPB4,32726,1
Leny Andrade,32748,1
Robbie Nevil,32679,1
Bonnie Pointer,31755,1
DNA,31757,1
Ollie & Jerry,32408,1
Belinda,32526,1
Agostinho Dos Santos,32536,1
The Good Girls,32039,1
Janet,32044,1
Blue October,32082,1
Louis Armstrong's Orchestra And Chorus,29390,1
Bettye Lavette,28922,1
Wolfman Jack,29730,1
Arthur Alexander,30159,1
Slim Harpo,30161,1
Roy Acuff,30268,1
Sammi Smith,30290,1
Jack Greene,30297,1
Gary Lewis and The Playboys,30312,1
Yomo,28382,1
Johnny Wright,28360,1
Eddie Jefferson,28224,1
Curtis Fuller,28661,1
Bernard Herrmann,28740,1
Trio Irakitan,28441,1
Lucia Popp,28446,1
Mac Davis,28503,1
Merrill Moore,30585,1
Fey,30659,1
Rock Kills Kid,30474,1
Mabel Scott,31267,1
Mary Martin,31283,1
Bohannon,30928,1
Count Basie Quartet,30954,1
Gob,30973,1
Mark Mothersbaugh,30977,1
Gary Bartz Ntu Troop,31009,1
Shaila Dúrcal,31055,1
Jimmy Newman,31742,1
C.W. McCall,31745,1
Jeanne Pruett,31392,1
Gloria Jones,31464,1
Lucero,31583,1
Alexandre Desplat,31619,1
Don Henley,36871,1
JOE TEX,36520,1
Four Tops / The Supremes,36626,1
Alexis Y Fido,36660,1
Baby Ranks,36664,1
Patrick Juvet,36811,1
Leroy Anderson,37149,1
Trixie Smith,37171,1
Billy Kyle,37217,1
Joe Sullivan,37221,1
Al Bowlly,37014,1
Anja Harteros,37558,1
Cold War Kids,37610,1
The Dinning Sisters,37774,1
Uncle Dave Macon,37791,1
The Holy Modal Rounders,37811,1
Rundfunkchor Berlin,37277,1
Drowning Pool,37409,1
John Paul White,37442,1
El Chapo De Sinaloa,38408,1
Los Tucanes De Tijuana,38409,1
Fonseca,39008,1
Cabas,39031,1
tobyMac,39050,1
The Buddy Rich Big Band,39261,1
Zhané,37526,1
Pleasure,39825,1
Robyn Hitchcock & The Egyptians,39911,1
Olivia Ruiz,40054,1
Robben Ford & The Blue Line,40246,1
Lee Ritenour,40247,1
Heitor Pereira,40157,1
Michael Brecker,40232,1
Jeff Golub,40585,1
Stan Getz / Bob Brookmeyer,40388,1
Oscar Peterson / Ben Webster,40392,1
Paul Weston & His Orchestra,40462,1
John Patitucci,40467,1
Ben Webster And Associates,40348,1
Claudia Acuna,40358,1
Fletcher Henderson And His Orchestra,40331,1
Chuck Mangione,40296,1
David Torn,40739,1
Sam Donahue and His Orchestra,40954,1
Hilton Ruiz,41029,1
Symphonieorchester des Bayerischen Rundfunks,41141,1
Logic,42612,1
Leroy Van Dyke,41710,1
Roy Rogers,41417,1
Jazz At The Philharmonic,41311,1
Lonnie Johnson,41388,1
Chubby Checker,41218,1
Robyn,41524,1
Incubus,41558,1
Motörhead,41693,1
Luiz Henrique,11295,1
Days Of The New,11081,1
Original London Cast,11098,1
Annabel Leventon,11102,1
The Maytals,11109,1
The Slits,11158,1
Irene Cara,11268,1
Duane Allman,11284,1
Veruca Salt,11363,1
Redd Kross,11395,1
Babes In Toyland,11396,1
Bettie Serveert,11392,1
Group Therapy,11329,1
Mel-Man,11330,1
RBX,11331,1
Kim Summerson,11332,1
Miscellaneous,11333,1
Hands-On,11334,1
King T,11335,1
Maurice Wilcher,11336,1
Jheryl Lockhart,11337,1
Whoz Who,11338,1
Sharief,11339,1
Nowl,11340,1
Horace Silver,11487,1
Tavares,11488,1
Justin Hinds & The Dominoes,11452,1
Adam Garcia,11430,1
Bono,11398,1
Antonio Banderas,10952,1
Siobhan McCarthy,10975,1
Puddle Of Mudd,10943,1
Frou Frou,10947,1
Richard Price,10948,1
Pete Yorn,10949,1
Nick Cave,10950,1
Styles,10919,1
Butterfly Boucher,10936,1
White Zombie,10940,1
Valeria,10991,1
Amiel Daemion,11058,1
Steve Sharples,11059,1
Cinder,11062,1
TRUSTcompany,11064,1
Fred Hughes,10894,1
Jo Ann Garrett,10886,1
Billy Young,10887,1
Big Maybelle,10889,1
Barbara Carr,10890,1
Burt Bacharach,10897,1
Halfcocked,10913,1
Eddie Murphy,10915,1
The Kolettes,10877,1
James Phelps,10882,1
The Knight Brothers,10883,1
The Valentinos,10884,1
Jan Bradley,10873,1
Cookie And The Cupcakes,10875,1
Beaux Arts Trio,9830,1
Leila Josefowicz,9834,1
Jimmy Giuffre,9584,1
Debbie Harry,10140,1
Feeder,9787,1
Dietrich Fischer-Dieskau,9138,1
Astor Piazzolla,9233,1
Duke Pearson,10212,1
Don Cherry,10214,1
Mac McAnally,10239,1
K-Ci,10240,1
Willie Dixon,10233,1
Eazy-E,10247,1
Aerosmith,10173,1
Black Grape,10170,1
Joe Louis Walker,10168,1
Switch,10155,1
Willie Hutch,10156,1
Madness,10158,1
King Oliver,10432,1
Jimmy Witherspoon,10453,1
Big Youth,10485,1
Blinky Williams,10303,1
Earl Hines,10425,1
Andrea Davis,10273,1
Lost Boyz,10275,1
Monty Alexander,10294,1
Mushroomhead,10257,1
Bobby McClure,10270,1
Flora Purim,10621,1
Marcos Valle,10624,1
Azymuth,10613,1
Carmen Miranda,10495,1
Stan Kenton,10551,1
Denny Doherty,10847,1
Michelle Phillips,10848,1
Vivian Blaine,10849,1
Isabel Bigley,10850,1
Robert Alda,10852,1
Jimmie Dale Gilmore,4115,1
Staind,4205,1
Mint Condition,4207,1
Paul Rodgers,4364,1
Tracy Lawrence,4388,1
Hootie & The Blowfish,4390,1
Barenaked Ladies,4017,1
Static-X,4040,1
Nicholas Payton,4042,1
Ruben Blades,4061,1
The Cars,4066,1
The Call,4083,1
Orgy,4093,1
Paul Simon,4094,1
Enya,4099,1
Salvatore Accardo,3220,1
Elaine Paige,3188,1
Domenico Modugno,3081,1
Matthew Sweet,3109,1
Stray Cats,3016,1
Yes,3075,1
Peter Tevis,3314,1
Eddy Arnold,3356,1
Floyd Cramer,3361,1
Petey Pablo,3629,1
Joe,3630,1
"Evelyn ""Champagne"" King",3699,1
Ludovico Einaudi,3876,1
Christopher Hogwood,3591,1
Charley Pride,3367,1
Jerry Reed,3369,1
Gary Stewart,3370,1
Chaka Khan,4749,1
Chicago,4751,1
The Everly Brothers,4824,1
Dr. John,4827,1
Lindsey Buckingham,4784,1
Herbie Mann,4358,1
Chris Rock,4432,1
Scott Weiland,4451,1
Uncle Kracker,4464,1
Jordan Hill,4502,1
Lil' Kim,4542,1
P.O.D.,4546,1
Unwritten Law,4561,1
Hot Action Cop,4566,1
Ambrosia,4619,1
Freddy Fender,4847,1
Hank Williams Jr.,4950,1
Iron Butterfly,4957,1
Boney James,4999,1
Clarence Carter,4967,1
Grant Lee Buffalo,4991,1
Lorraine Ellison,5018,1
Patrice Rushen,5038,1
ARRESTED DEVELOPMENT,5061,1
Yandel,8863,1
Connie Haines,8835,1
Terry Johnson,8836,1
Blind Willie Johnson,8585,1
J.J. Barnes,8824,1
Sub Focus,8311,1
Raspberries,8287,1
Bobby Hebb,8341,1
Ok Go,8432,1
George Lewis,8524,1
Bounty Killer,7550,1
Capleton,7534,1
The Score,7408,1
Maxi Priest,7148,1
Chaka Demus,7667,1
Chaka Demus & Pliers,7682,1
Wyclef Jean,7606,1
The Mighty Diamonds,7640,1
Foxy Brown,7725,1
Roland Alphonso,7858,1
Frisco Kid,7879,1
Olga Tañon,5696,1
Kurtis Blow,5790,1
Disturbing Tha Peace,5802,1
N.O.R.E.,5820,1
Faith Evans,5875,1
The Tornados,5902,1
American Music Club,5911,1
Manzanita,5656,1
Alejandro Sanz,5546,1
Dan Penn,5166,1
Crystal Gayle,5168,1
Gene Watson,5169,1
Ray Stevens,5229,1
Kirk Whalum,5245,1
Al Jarreau,5248,1
Bill Anderson,5258,1
Bad Company,6678,1
Ruth Brown,6679,1
Daniel Hope,6413,1
Nelson Freire,6093,1
Hélène Grimaud,6318,1
Evanescence,7033,1
Smut Peddlers,6808,1
Caesars,7086,1
Mama Cass Elliot,7055,1
John Altman,7061,1
The Beautiful South,235,1
Swing Out Sister,242,1
Alicia Keys,211,1
Avril Lavigne,212,1
Christina Aguilera,216,1
Kelis,207,1
Fairport Convention,195,1
Johnny Lover,184,1
Nirvana,169,1
Razorlight,170,1
Barrett Strong,171,1
Lloyd Banks,261,1
The Elgins,330,1
Passengers,107,1
Baby Bash,105,1
The Bees,114,1
The Chemical Brothers,115,1
Lenny Kravitz,119,1
John Martyn,77,1
Pulp,78,1
Burning Spear,80,1
Ocean Colour Scene,102,1
Tricky,93,1
India.Arie,64,1
PJ Harvey,17,1
Jimi Hendrix Experience,30,1
Crowded House,501,1
Cracker,481,1
Fun Lovin' Criminals,400,1
Nada Surf,418,1
Fountains Of Wayne,419,1
The Dandy Warhols,437,1
Nick Cave & The Bad Seeds,451,1
Status Quo,358,1
Shonen Knife,533,1
Neneh Cherry,537,1
Soul II Soul,520,1
Memphis Slim,511,1
Cee-Lo,608,1
Todd Rundgren,562,1
Dr. Dre,573,1
Brandy,580,1
Seal,623,1
Sweet,630,1
The Hollies,638,1
Deep Purple,655,1
Emilio Kauderer,727,1
Young Buck,826,1
John Mellencamp,833,1
Katherine Jenkins,847,1
Jackie McLean,1005,1
Joe Lopez,988,1
Joyce Cooling,989,1
Megadeth,990,1
Freddie Hubbard,954,1
Olivia Newton-John,900,1
Talib Kweli,902,1
Richard Marx,971,1
Diego Vainer,731,1
Juan Blas,729,1
T. Rex,748,1
George Duke,763,1
Louis Prima,779,1
James Moody,793,1
Art Blakey,788,1
Oleta Adams,1502,1
Johnny Bristol,1513,1
Dodgy,1435,1
Everlast,1450,1
CKY,1451,1
The La's,1485,1
The Mindbenders,1489,1
Charlene,1552,1
Len Barry,1558,1
Lethal Bizzle,1572,1
Akon,1573,1
The Game,1579,1
Moby,1600,1
Editors,1606,1
The Buggles,1530,1
The Rubettes,1528,1
The Floaters,1518,1
Alicia Bridges,1539,1
Cathy Dennis,1547,1
Thunderclap Newman,1391,1
David Essex,1409,1
Godley & Creme,1421,1
Scorpions,1398,1
INXS,1399,1
Lloyd,1341,1
Elbow,1309,1
Glenn Miller & His Orchestra,1234,1
Trick Daddy,1279,1
Red Hot Chili Peppers,1283,1
Primal Scream,1296,1
G-Unit,1299,1
Madeleine Peyroux,1065,1
Sahara Hotnights,1155,1
Lou Reed,1191,1
Daryl Hall & John Oates,1206,1
Alvaro Torres,1011,1
Orchestra,2631,1
New Philharmonia Orchestra,2591,1
Eddie Condon,2434,1
Kristin Chenoweth,2485,1
Paul Desmond,2409,1
Eartha Kitt,2780,1
Hot Lips Page,2782,1
Della Reese,2798,1
Hubert Laws,2770,1
Jack Teagarden,2772,1
Rosemary Clooney,2774,1
Victoria Spivey,2846,1
Jim Jackson,2850,1
Furry Lewis,2853,1
Sleepy John Estes,2859,1
Peetie Wheatstraw,2869,1
Leroy Carr,2874,1
Robert Lee McCoy,2880,1
Roosevelt Sykes,2900,1
Staatskapelle Dresden,2986,1
Pinchas Zukerman,2940,1
Leo Litwin,2949,1
Ry Cooder,2963,1
Benny Goodman Quartet,2909,1
Small Faces,1619,1
Dave Berry,1623,1
Billy Fury,1626,1
John Mayall & The Bluesbreakers,1633,1
Sviatoslav Richter,2040,1
Sherrill Milnes,2043,1
Harry Nilsson,2058,1
Doug E. Fresh,2162,1
The Box Tops,1998,1
Naughty By Nature,2022,1
Tommy Dorsey,2102,1
Mobb Deep,2113,1
Martina McBride,2116,1
Tyrese,2233,1
The Guess Who,2211,1
Leopold Stokowski,2283,1
Dinah Shore,2250,1
The Chieftains,2259,1
